scenario,n_bg,n_channel,a_global,a_channel_per_instance,a_bg_local,a_storage_separate,total_area,assumption
documented_per_bg,1,0,0,0,34647.588864,0,34647.588864,"README one-BG integration; storage already included"
documented_per_bg,2,0,0,0,34647.588864,0,69295.177728,"README one-BG integration; storage already included"
documented_per_bg,4,0,0,0,34647.588864,0,138590.355456,"README one-BG integration; storage already included"
documented_per_bg,8,0,0,0,34647.588864,0,277180.710912,"README one-BG integration; storage already included"
documented_per_bg,16,0,0,0,34647.588864,0,554361.421824,"README one-BG integration; storage already included"
documented_per_bg,32,0,0,0,34647.588864,0,1108722.843648,"README one-BG integration; storage already included"
documented_per_bg,64,0,0,0,34647.588864,0,2217445.687296,"upper bound and documented RTL replication"
transport_shared_once_hypothesis,1,1,0,3587.457024,31060.131840,0,34647.588864,"needs architecture confirmation"
transport_shared_once_hypothesis,2,1,0,3587.457024,31060.131840,0,65707.720704,"needs architecture confirmation"
transport_shared_once_hypothesis,4,1,0,3587.457024,31060.131840,0,127827.984384,"needs architecture confirmation"
transport_shared_once_hypothesis,8,1,0,3587.457024,31060.131840,0,252068.511744,"needs architecture confirmation"
transport_shared_once_hypothesis,16,1,0,3587.457024,31060.131840,0,500549.566464,"needs architecture confirmation"
transport_shared_once_hypothesis,32,1,0,3587.457024,31060.131840,0,997511.675904,"needs architecture confirmation"
transport_shared_once_hypothesis,64,1,0,3587.457024,31060.131840,0,1991435.894784,"needs architecture confirmation"
